samples,Location,AgeClass,sex,year
DLCIB17-02,Knik Arm,Juvenile,F,2017
DLCIB17-03,Knik Arm,Adult,M,2017
DLCIB17-04,Knik Arm,Adult,M,2017
DLCIB17-05,Knik Arm,Adult,M,2017
DLCIB17-06,Knik Arm,Adult,F,2017
DLCIB17-07,Susitna Delta,Adult,M,2017
DLCIB17-08,Knik Arm,Juvenile,F,2017
DLCIB17-09,Knik Arm,Adult,M,2017
DLCIB17-10,Chickaloon Bay,Juvenile,F,2017
DLCIB17-11,Chickaloon Bay,Adult,F,2017
DLCIB17-12,Chickaloon Bay,Adult,F,2017
DLCIB16-31,Susitna Delta,Sub-Adult,F,2016
DLCIB16-32,Susitna Delta,Adult,M,2016
DLCIB16-33,Susitna Delta,Juvenile,F,2016
DLCIB16-34,Knik Arm,Adult,F,2016
DLCIB16-35,Knik Arm,Adult,F,2016
DLCIB16-36,Knik Arm,Adult,F,2016
DLCIB18-10,Chickaloon Bay,Adult,M,2018
DLCIB18-11,Chickaloon Bay,Adult,M,2018
DLCIB18-12,Chickaloon Bay,Sub-Adult,F,2018
DLCIB18-15,Chickaloon Bay,Adult,M,2018
DLCIB18-16,Chickaloon Bay,Sub-Adult,M,2018
DLCIB18-17,Chickaloon Bay,Adult,M,2018
DLCIB18-18,Chickaloon Bay,Adult,M,2018
DLCIB18-19,Chickaloon Bay,Adult,M,2018
DLCIB18-02,Chickaloon Bay,Adult,M,2018
DLCIB18-20,Chickaloon Bay,Adult,M,2018
DLCIB18-21,Chickaloon Bay,Adult,F,2018
DLCIB18-03,Chickaloon Bay,Adult,M,2018
DLCIB18-04,Chickaloon Bay,Adult,M,2018
DLCIB18-05,Chickaloon Bay,Adult,M,2018
DLCIB18-06,Chickaloon Bay,Adult,M,2018
DLCIB18-07,Chickaloon Bay,Adult,F,2018
DLCIB18-08,Chickaloon Bay,Adult,F,2018
DLCIB18-09,Chickaloon Bay,Adult,F,2018
